Entity,Code,Year,14.1.1 - Beach litter per square kilometer (Number) - EN_MAR_BEALITSQ
Africa (UN),UN_AFR,2015,3823505.8
Africa (UN),UN_AFR,2016,5685998
Africa (UN),UN_AFR,2017,2529506.8
Africa (UN),UN_AFR,2018,29924936
Africa (UN),UN_AFR,2019,4628005
Africa (UN),UN_AFR,2020,960833
Aland Islands,ALA,2022,2485491
Algeria,DZA,2015,34285716
Algeria,DZA,2016,39450548
Algeria,DZA,2018,2485.46
American Samoa,ASM,2021,724099.7
Angola,AGO,2022,74564.73
Antigua and Barbuda,ATG,2021,52319.89
Antigua and Barbuda,ATG,2022,62224.14
Argentina,ARG,2015,5832512.5
Argentina,ARG,2016,490426.7
Argentina,ARG,2017,3788198.8
Argentina,ARG,2018,6801203
Argentina,ARG,2021,158951.86
Argentina,ARG,2022,5707.65
Aruba,ABW,2021,165465.03
Asia (UN),UN_ASI,2015,619764.56
Asia (UN),UN_ASI,2016,402913.5
Asia (UN),UN_ASI,2017,1470050.8
Asia (UN),UN_ASI,2018,873112.6
Asia (UN),UN_ASI,2019,891973.3
Asia (UN),UN_ASI,2020,51753
Asia (UN),UN_ASI,2021,229004
Asia (UN),UN_ASI,2022,271512
Australia,AUS,2015,1514.06
Australia,AUS,2016,7202.05
Australia,AUS,2017,210440.4
Australia,AUS,2018,140982.08
Australia,AUS,2021,129931.54
Australia,AUS,2022,150187.52
Australia and New Zealand (UN SDG),UNSDG_ANZ,2015,1514.06
Australia and New Zealand (UN SDG),UNSDG_ANZ,2016,7797.52
Australia and New Zealand (UN SDG),UNSDG_ANZ,2017,208543.2
Australia and New Zealand (UN SDG),UNSDG_ANZ,2018,152920.34
Australia and New Zealand (UN SDG),UNSDG_ANZ,2019,107754.94
Australia and New Zealand (UN SDG),UNSDG_ANZ,2020,219725.94
Australia and New Zealand (UN SDG),UNSDG_ANZ,2021,50181
Australia and New Zealand (UN SDG),UNSDG_ANZ,2022,146812
Austria,AUT,2017,148482.89
Azerbaijan,AZE,2016,59891.15
Azerbaijan,AZE,2018,249168.92
Azerbaijan,AZE,2021,76398.29
Bahamas,BHS,2016,101986.51
Bahamas,BHS,2017,418691.06
Bahamas,BHS,2018,498357.38
Bahamas,BHS,2021,48104.54
Bahamas,BHS,2022,150771.17
Bangladesh,BGD,2016,146784460
Bangladesh,BGD,2017,5784745.5
Bangladesh,BGD,2018,4008335.5
Bangladesh,BGD,2021,151389
Bangladesh,BGD,2022,1475831.5
Barbados,BRB,2016,1150074.9
Barbados,BRB,2017,2376584.5
Barbados,BRB,2018,2485.46
Barbados,BRB,2022,130882.21
Belgium,BEL,2015,15202899
Belgium,BEL,2016,270451.2
Belgium,BEL,2017,227315.78
Belgium,BEL,2018,19152.15
Belgium,BEL,2019,664536.06
Belgium,BEL,2021,69243
Belize,BLZ,2016,1602168.9
Belize,BLZ,2017,988723.2
Belize,BLZ,2018,1180477.5
Belize,BLZ,2021,201125.2
Belize,BLZ,2022,233387.86
Bermuda,BMU,2016,484916.25
Bermuda,BMU,2017,1806490.1
Bermuda,BMU,2018,897788.1
Bermuda,BMU,2021,555036.4
Bermuda,BMU,2022,180301.23
Bhutan,BTN,2022,6213.73
Bonaire Sint Eustatius and Saba,BES,2017,152057.64
Bonaire Sint Eustatius and Saba,BES,2018,2743364.2
Bonaire Sint Eustatius and Saba,BES,2021,360000000
Bonaire Sint Eustatius and Saba,BES,2022,37487.54
Bosnia and Herzegovina,BIH,2016,1428110.9
Brazil,BRA,2015,5410680
Brazil,BRA,2016,1563746.4
Brazil,BRA,2017,1792396.9
Brazil,BRA,2018,507292
Brazil,BRA,2019,4741.2
Brazil,BRA,2021,190846.28
Brazil,BRA,2022,456643.75
British Virgin Islands,VGB,2016,2476880.5
British Virgin Islands,VGB,2017,2499565
British Virgin Islands,VGB,2021,77342.24
British Virgin Islands,VGB,2022,287990.34
Brunei,BRN,2016,796451.56
Brunei,BRN,2017,204453.9
Brunei,BRN,2022,16.08
Brunei,BRN,2023,50.97
Bulgaria,BGR,2015,2178.33
Bulgaria,BGR,2016,1809
Bulgaria,BGR,2017,8674.33
Bulgaria,BGR,2018,2997
Bulgaria,BGR,2019,2561.7
Bulgaria,BGR,2020,2762.22
Bulgaria,BGR,2021,1049.9
Bulgaria,BGR,2022,782.5
Cambodia,KHM,2016,2909923
Cambodia,KHM,2017,6435405
Cambodia,KHM,2018,5243327.5
Cambodia,KHM,2021,311784.8
Cameroon,CMR,2018,84679624
Cameroon,CMR,2021,61982.32
Cameroon,CMR,2022,42967.34
Canada,CAN,2015,1524.87
Canada,CAN,2016,194241.2
Canada,CAN,2017,333326.78
Canada,CAN,2018,328376.2
Canada,CAN,2021,355421.62
Canada,CAN,2022,163600.3
Cape Verde,CPV,2018,164925.78
Cape Verde,CPV,2021,7981.27
Cayman Islands,CYM,2016,3348054.8
Cayman Islands,CYM,2017,1209102.4
Cayman Islands,CYM,2018,231897.78
Cayman Islands,CYM,2021,463322.8
Cayman Islands,CYM,2022,1357706.2
Central and Southern Asia (UN SDG),UNSDG_CSA,2015,11448.52
Central and Southern Asia (UN SDG),UNSDG_CSA,2016,1271338.9
Central and Southern Asia (UN SDG),UNSDG_CSA,2017,1340240.9
Central and Southern Asia (UN SDG),UNSDG_CSA,2018,521671.28
Central and Southern Asia (UN SDG),UNSDG_CSA,2019,711109.9
Central and Southern Asia (UN SDG),UNSDG_CSA,2020,625650.8
Central and Southern Asia (UN SDG),UNSDG_CSA,2021,556506
Central and Southern Asia (UN SDG),UNSDG_CSA,2022,264575
Chile,CHL,2015,791304.4
Chile,CHL,2016,703401
Chile,CHL,2017,1295306.1
Chile,CHL,2018,3741894.8
Chile,CHL,2021,171061.97
Chile,CHL,2022,159731.6
China,CHN,2015,14219138
China,CHN,2016,114915.7
China,CHN,2017,278760.25
China,CHN,2018,134588.02
China,CHN,2021,2670201
China,CHN,2022,1008600.3
Christmas Island,CXR,2021,349819
Colombia,COL,2016,46909860
Colombia,COL,2017,4037824
Colombia,COL,2018,426618.7
Colombia,COL,2021,178341.52
Colombia,COL,2022,564627.94
Costa Rica,CRI,2015,13522727
Costa Rica,CRI,2016,2798832.2
Costa Rica,CRI,2017,2260979.5
